Name,Ticker,Sub-Sector,Market Cap,Close Price,SCORE,CATEGORY,Platform,Updated Date,Quantity,Value,MAX IN,MIN IN,BUY,5Y Historical Revenue Growth,,,,,SCORE RATIO,AMPLIFIER,INDEX,Max Cap,Min Cap,Max Units,MIN UNITS,MAX SCORE,NORAMLISED
20 Microns Ltd,20MICRONS,Specialty Chemicals,346.16,92.70,162,CAT-14,NA,16 Nov 2022,0,0,13113,3358,YES,9.22,,,,,2.56,2,1,500000,50000,1000,100,289,6.56
3i Infotech Ltd,3IINFOLTD,IT Services & Consulting,719.87,42.75,-139,CAT-11,NA,16 Nov 2022,0,0,4615,1000,NO,-8.11,,,,,1.52,2,1,500000,50000,1000,100,289,2.31
3M India Ltd,3MINDIA,Stationery,27187.57,24483.70,193,CAT-01,NA,16 Nov 2022,0,0,14235,3798,YES,6.93,,,,,2.67,2,1,500000,50000,1000,100,289,7.12
3P Land Holdings Ltd,3PLAND,Real Estate,30.51,17.00,135,CAT-27,NA,16 Nov 2022,0,0,12173,3003,NO,-4.02,,,,,2.47,2,1,500000,50000,1000,100,289,6.09
5Paisa Capital Ltd,5PAISA,Diversified Financials,961.52,314.50,-60,CAT-10,NA,16 Nov 2022,0,0,6425,1152,YES,109.01,,,,,1.79,2,1,500000,50000,1000,100,289,3.21
63 Moons Technologies Ltd,63MOONS,IT Services & Consulting,726.89,153.75,-138,CAT-11,NA,16 Nov 2022,0,0,4636,1000,NO,-13.17,,,,,1.52,2,1,500000,50000,1000,100,289,2.32
7NR Retail Ltd,7NR,,29.64,1.33,0,CAT-28,NA,16 Nov 2022,0,0,8000,1600,YES,16.29,,,,,2.00,2,1,500000,50000,1000,100,289,4.00
7Seas Entertainment Ltd,7SEASL,0,30.35,21.10,-139,CAT-27,NA,16 Nov 2022,0,0,4615,1000,NO,-33.28,,,,,1.52,2,1,500000,50000,1000,100,289,2.31
A and M Jumbo Bags Ltd,AMJUMBO,Packaging,26.56,25.30,-101,CAT-28,NA,16 Nov 2022,0,0,5448,1000,NO,-39.64,,,,,1.65,2,1,500000,50000,1000,100,289,2.72
A B Cotspin India Ltd,ABCOTS,Textiles,48.37,47.00,130,CAT-25,NA,16 Nov 2022,0,0,12003,2941,YES,5.44,,,,,2.45,2,1,500000,50000,1000,100,289,6.00
A Infrastructure Ltd,AINFRA,Industrial Machinery,163.76,18.65,100,CAT-18,NA,16 Nov 2022,0,0,11008,2582,YES,11.86,,,,,2.35,2,1,500000,50000,1000,100,289,5.50
A K Capital Services Ltd,AKCAPIT,Investment Banking & Brokerage,276.97,427.65,96,CAT-15,NA,16 Nov 2022,0,0,10878,2537,NO,-0.97,,,,,2.33,2,1,500000,50000,1000,100,289,5.44
A-1 Acid Ltd,AAL,Commodity Chemicals,361.85,314.55,138,CAT-14,NA,16 Nov 2022,0,0,12276,3041,YES,24.33,,,,,2.48,2,1,500000,50000,1000,100,289,6.14
A2z Infra Engineering Ltd,A2ZINFRA,Construction & Engineering,190.21,11.00,-261,CAT-17,NA,16 Nov 2022,0,0,2500,1000,NO,-13.21,,,,,1.10,2,1,500000,50000,1000,100,289,1.20
AAA Technologies Ltd,AAATECH,IT Services & Consulting,94.92,73.00,186,CAT-21,NA,16 Nov 2022,0,0,13977,3695,YES,3.68,,,,,2.64,2,1,500000,50000,1000,100,289,6.99
Aakash Exploration Services Ltd,AAKASH,Oil & Gas - Equipment & Services,96.19,10.00,59,CAT-21,NA,16 Nov 2022,0,0,9717,2142,YES,18.02,,,,,2.20,2,1,500000,50000,1000,100,289,4.86
Aanchal Ispat Ltd,AANCHALISP,Iron & Steel,50.36,23.00,-60,CAT-24,NA,16 Nov 2022,0,0,6425,1152,NO,-8.95,,,,,1.79,2,1,500000,50000,1000,100,289,3.21
